"IID" "secure_parents" "partic_vote" "partic_protest" "imp_immig" "imp_jobs" "imp_costliv" "imp_climate" "imp_abort" "imp_gun" "imp_crime" "imp_gaza" "imp_antisem" "imp_votright" "imp_ukraine" "imp_schteach" "imp_islamop" "highered_bias" "highered_approve" "secular_reason" "police_safe" "police_confid" "police_number" "crime_selfplc" "treatcrime_theft" "treatcrime_marij" "treatcrime_camp" "treatcrime_firearm" "treatcrime_abort" "border_patrol" "border_milit" "border_legal" "aid_ukraine" "aid_israel" "aid_palest" "prej_muslims" "prej_jews" "group_fascists" "group_kkk" "group_nazi" "group_blm" "group_atheists" "group_prolife" "group_prochoice" "group_gunrights" "group_lgbtrights" "group_feminists" "group_whitesup" "group_antigay" "group_socialist" "group_antifa" "group_christfund" "group_laborun" "group_bigbus" "group_gayles" "group_transppl" "group_christians" "group_police" "group_journal" "group_nra" "group_ruralam" "group_planparent" "group_colprofs" "group_black" "group_white" "group_hispanic" "group_asian" "group_transmen" "group_transwom" "group_jews" "group_muslims" "foreign_israel" "foreign_hamas" "foreign_israelis" "foreign_palest" "tol_freespeech" "disqual_felon" "disqual_bribe" "disqual_docs" "disqual_sexhar" "felonserve_fedoff" "empsat_paidoff" "abrtpre_abrtself" "trans_health" "trans_sportgirl" "trans_sportboy" "raceadvt_white" "raceadvt_black" "raceadvt_hispanic" "raceadvt_asian" "resent_workway" "resent_genertns" "resent_deserve" "resent_tryhard" "sexism_bprotect" "sexism_bdiff" "sexism_bhetero" "sexism_hinnoc" "sexism_hpower" "empath_concern" "empath_perspect" "school_racism" "school_gender" "abrtpre_standard.By law, a woman should always be able to obtain an abortion as a matter of perso" "abrtpre_standard.The law should permit abortion for reasons other than rape," "abrtpre_standard.Other" "abrtpre_standard.The law should permit abortion only in case of rape, incest, or when the woman's" "abrtpre_standard.By law, abortion should never be permitted."
"27" 3 2 4 4 3 3 1 2 2 4 4 2 1 2 4 2 3 2 1 4 4 3 3 4 5 5 2 5 2 5 3 1 4 2 2 3 0 0 0 80 100 1 85 2 85 85 0 1 85 50 1 70 30 95 85 40 60 50 0 30 90 50 85 50 85 85 90 85 95 75 45 1 85 70 2 1 1 1 0 3 3 1 2 4 4 1 3 3 2 5 1 3 4 3 4 3 4 5 2 3 3 4 1 0 0 0 0
"28" 1 3 4 1 2 2 5 2 2 2 3 4 3 3 2 5 2 4 2 3 3 4 7 2 2 2 3 2 1 2 3 4 3 3 4 4 33 3 3 5 0 84 4 92 4 1 2 12 6 3 88 85 20 9 3 97 85 85 88 75 0 3 85 76 96 85 12 4 63 36 21 0 12 42 3 0 0 0 0 2 3 7 3 3 5 2 2 2 2 3 3 3 3 5 3 2 2 2 3 3 5 3 0 0 0 0 1
"29" 1 1 4 1 2 1 3 3 3 1 1 1 3 2 1 3 1 5 2 1 1 5 7 1 5 1 1 5 1 1 3 2 2 1 3 1 9 6 6 6 53 90 89 100 4 8 6 33 7 0 53 8 54 53 53 88 100 17 73 100 19 6 53 53 91 54 53 53 88 53 88 0 88 15 1 1 1 1 1 3 1 4 5 1 1 2 2 2 3 1 5 5 2 2 3 5 2 3 4 3 3 3 0 0 0 1 0
"30" 2 4 7 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 3 4 3 4 3 3 3 1 3 1 1 4 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 3 3 1 3 3 3 1 3 3 3 3 3 2 3 4 2 2 3 3 4 4 4 4 1 0 0 0 0
"31" 3 3 3 2 2 2 3 1 3 2 4 4 2 3 3 5 3 5 1 3 4 3 4 4 5 3 1 5 3 2 4 2 4 3 4 4 0 0 0 25 50 30 70 50 90 50 0 25 70 50 50 100 10 50 50 25 15 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 2 0 1 1 0 2 5 1 3 3 3 1 3 3 3 2 4 3 4 5 3 2 3 3 2 5 3 3 1 0 0 0 0
"32" 3 3 6 2 1 1 3 1 2 1 2 2 2 3 2 3 2 2 1 2 3 5 3 3 5 3 2 5 2 2 3 4 2 2 2 2 0 0 0 70 39 85 96 72 67 51 0 0 60 16 30 50 30 72 58 60 49 0 62 40 84 60 70 60 70 85 70 70 59 60 50 40 60 60 3 0 1 1 1 3 2 1 4 4 4 1 3 3 1 4 1 3 4 5 4 4 4 4 1 3 2 3 1 0 0 0 0
"33" 3 5 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 4 1 3 3 1 3 3 3 3 3 3 3 3 3 48 53 50 50 51 52 51 49 50 53 52 49 49 52 49 51 48 49 48 49 51 51 48 50 50 49 50 50 49 48 56 48 51 54 50 48 8 51 3 1 1 1 1 2 3 4 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 1 5 3 3 1 0 0 0 0
"34" 3 2 6 3 2 3 1 1 3 3 2 2 1 2 2 3 1 4 2 2 4 4 4 4 5 3 2 5 2 5 1 1 4 1 3 2 0 0 0 49 45 57 15 30 45 50 0 27 42 40 16 75 33 50 50 59 40 56 0 50 6 61 50 50 50 50 50 50 50 50 39 0 50 50 1 1 1 0 1 1 5 6 4 3 3 1 3 2 2 4 1 2 5 4 4 3 2 3 3 3 3 4 0 0 0 0 1
"35" 1 1 3 2 3 1 1 3 2 3 2 2 2 2 1 2 2 4 1 3 3 3 4 3 5 4 3 5 2 2 3 1 2 2 2 3 3 2 3 63 81 20 74 13 66 65 3 22 79 70 10 81 18 63 63 50 59 89 15 77 61 73 74 71 87 86 54 50 70 62 70 3 70 70 2 1 1 1 1 3 3 3 4 2 2 1 3 3 2 2 3 3 2 4 3 3 2 3 4 3 2 3 0 1 0 0 0
"36" 2 1 4 1 3 3 4 1 3 1 1 1 1 2 1 4 1 3 2 1 1 5 6 2 5 2 1 3 1 1 3 3 1 3 4 2 0 0 0 0 0 66 0 49 0 15 0 73 15 0 87 43 50 0 0 100 86 34 66 79 0 54 50 50 50 50 1 0 100 9 100 0 95 33 2 1 1 0 0 3 3 6 5 1 1 2 2 2 2 3 5 2 5 4 3 5 2 5 4 5 4 5 0 0 0 1 0
