"IID" "secure_parents" "partic_vote" "partic_protest" "imp_immig" "imp_jobs" "imp_costliv" "imp_climate" "imp_abort" "imp_gun" "imp_crime" "imp_gaza" "imp_antisem" "imp_votright" "imp_ukraine" "imp_schteach" "imp_islamop" "highered_bias" "highered_approve" "secular_reason" "police_safe" "police_confid" "police_number" "crime_selfplc" "treatcrime_theft" "treatcrime_marij" "treatcrime_camp" "treatcrime_firearm" "treatcrime_abort" "border_patrol" "border_milit" "border_legal" "aid_ukraine" "aid_israel" "aid_palest" "prej_muslims" "prej_jews" "group_fascists" "group_kkk" "group_nazi" "group_blm" "group_atheists" "group_prolife" "group_prochoice" "group_gunrights" "group_lgbtrights" "group_feminists" "group_whitesup" "group_antigay" "group_socialist" "group_antifa" "group_christfund" "group_laborun" "group_bigbus" "group_gayles" "group_transppl" "group_christians" "group_police" "group_journal" "group_nra" "group_ruralam" "group_planparent" "group_colprofs" "group_black" "group_white" "group_hispanic" "group_asian" "group_transmen" "group_transwom" "group_jews" "group_muslims" "foreign_israel" "foreign_hamas" "foreign_israelis" "foreign_palest" "tol_freespeech" "disqual_felon" "disqual_bribe" "disqual_docs" "disqual_sexhar" "felonserve_fedoff" "empsat_paidoff" "abrtpre_abrtself" "trans_health" "trans_sportgirl" "trans_sportboy" "raceadvt_white" "raceadvt_black" "raceadvt_hispanic" "raceadvt_asian" "resent_workway" "resent_genertns" "resent_deserve" "resent_tryhard" "sexism_bprotect" "sexism_bdiff" "sexism_bhetero" "sexism_hinnoc" "sexism_hpower" "empath_concern" "empath_perspect" "school_racism" "school_gender" "abrtpre_standard.By law, a woman should always be able to obtain an abortion as a matter of perso" "abrtpre_standard.The law should permit abortion for reasons other than rape," "abrtpre_standard.Other" "abrtpre_standard.The law should permit abortion only in case of rape, incest, or when the woman's" "abrtpre_standard.By law, abortion should never be permitted."
"740" 1 2 4 2 1 1 1 2 1 1 1 1 1 2 2 3 3 4 3 4 4 5 7 3 5 1 1 5 1 1 5 1 1 1 2 1 9 0 2 98 0 73 32 1 11 93 0 36 8 5 87 88 17 5 18 100 8 86 0 70 88 95 100 83 79 88 0 15 93 9 100 0 95 87 1 1 1 0 1 2 3 1 5 4 4 1 3 3 3 5 2 1 5 5 3 1 3 5 1 5 1 2 1 0 0 0 0
"741" 3 3 4 3 2 1 3 2 1 1 4 1 2 4 2 4 5 3 2 3 3 2 1 3 5 2 1 4 2 3 4 3 3 3 3 3 24 80 55 35 61 20 51 74 35 88 63 71 42 54 50 40 65 23 32 51 44 32 20 73 78 73 30 75 63 64 34 23 31 72 14 15 15 94 3 1 0 1 1 2 3 4 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 2 4 3 3 1 0 0 0 0
"742" 1 2 2 2 1 1 2 1 2 2 2 3 2 4 3 2 4 2 2 2 3 3 2 2 2 5 3 4 2 2 2 4 4 3 3 2 64 56 42 72 70 67 50 57 86 80 81 58 76 62 93 45 74 88 82 91 78 83 74 63 72 72 65 94 60 66 80 89 79 66 51 34 59 69 3 1 1 0 0 2 2 2 4 3 4 1 2 2 2 2 2 2 2 4 2 2 2 3 2 5 2 2 1 0 0 0 0
"743" 3 3 3 1 2 1 1 3 1 2 3 3 3 2 2 4 2 3 1 2 3 4 2 4 5 4 1 5 2 2 2 1 4 2 4 4 2 3 1 49 71 12 80 1 69 42 2 2 30 5 30 49 42 100 73 85 61 100 2 14 74 74 49 85 68 38 71 68 100 16 43 3 70 68 2 1 1 1 1 3 2 3 5 1 1 1 2 2 2 2 2 2 4 4 4 4 2 2 3 3 3 4 0 0 1 0 0
"744" 2 3 4 3 3 3 3 5 3 3 3 3 3 3 3 3 3 3 2 3 3 3 4 3 3 3 3 3 3 3 2 2 3 3 3 3 86 51 78 86 85 91 72 56 40 83 69 53 86 81 66 72 56 50 56 95 93 83 82 76 90 81 94 91 84 82 48 56 85 79 94 59 93 65 2 0 1 0 0 2 3 4 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 4 3 3 3 0 1 0 0 0
"745" 3 4 4 2 1 1 3 3 2 2 3 4 2 2 1 3 3 4 1 3 4 4 5 4 5 5 4 5 2 2 4 4 3 3 3 3 50 50 40 50 50 50 50 50 60 50 50 50 50 50 50 70 60 50 50 70 50 60 50 60 70 60 60 100 50 40 40 40 60 50 40 50 50 50 3 1 1 1 1 3 4 3 3 3 3 2 2 2 2 3 4 3 5 1 3 1 2 3 4 4 3 3 1 0 0 0 0
"746" 3 4 4 2 1 2 4 3 4 1 3 4 3 3 2 3 4 3 3 2 4 3 7 4 5 2 2 2 2 4 4 5 5 5 3 3 31 37 13 19 54 69 84 53 2 42 34 53 3 0 6 57 21 0 0 99 43 0 62 90 50 54 40 79 64 74 24 5 54 48 30 29 35 54 1 1 0 0 1 3 3 3 3 3 3 1 2 2 2 1 3 2 2 2 2 2 1 1 3 3 2 2 1 0 0 0 0
"747" 2 2 3 3 1 2 2 3 2 1 2 2 4 3 3 1 3 2 2 2 3 2 5 2 2 2 3 1 2 4 3 4 3 3 2 3 35 17 64 38 75 38 100 56 94 54 63 85 57 31 100 62 35 41 61 100 77 80 80 30 56 63 15 100 19 30 56 77 55 40 31 60 33 53 3 1 1 1 1 2 3 5 3 3 3 2 2 2 2 2 2 3 3 2 4 4 3 3 1 2 3 3 0 0 0 1 0
"748" 3 2 4 2 1 2 2 3 2 2 3 3 2 3 2 3 3 3 1 2 3 3 6 4 4 3 2 4 2 2 4 3 3 2 3 3 50 50 50 60 80 60 60 70 50 40 70 50 60 50 60 70 50 40 40 60 50 50 60 60 50 85 60 85 60 60 15 15 60 60 60 0 70 70 2 1 1 1 1 3 2 3 5 3 3 1 2 3 2 2 2 3 2 3 2 2 2 2 3 5 2 2 0 0 0 1 0
"749" 3 1 1 1 1 1 2 2 1 1 1 2 2 1 1 1 2 2 2 5 4 2 7 1 1 1 2 2 1 2 2 1 5 1 1 4 19 11 3 85 2 48 35 2 0 85 62 31 32 13 15 60 30 3 4 14 11 11 16 55 57 30 100 86 85 30 0 2 0 86 3 0 0 86 1 1 1 0 1 3 1 2 2 2 4 1 1 2 2 3 2 2 1 1 1 1 1 1 2 2 1 1 0 1 0 0 0
"750" 2 3 4 2 1 1 2 2 1 1 2 3 2 2 2 3 3 3 1 3 3 3 7 3 3 2 1 3 3 3 3 3 5 2 3 3 58 33 21 69 100 63 56 36 79 95 61 6 40 49 61 50 82 63 56 59 70 43 48 75 100 67 71 65 70 59 61 66 51 0 0 0 0 70 3 1 1 0 1 2 2 1 4 3 3 1 3 3 2 2 2 2 4 4 2 3 4 2 4 4 2 2 1 0 0 0 0
"751" 3 2 4 1 1 1 5 4 5 1 5 5 3 5 1 3 1 5 2 3 3 4 3 1 5 3 1 5 2 1 3 5 5 5 4 4 50 15 50 3 50 3 50 100 2 3 50 50 2 2 76 43 50 40 2 60 42 1 4 100 1 30 50 85 48 50 15 2 40 50 15 15 7 50 1 0 0 0 0 2 4 6 5 1 1 3 2 1 2 2 5 5 4 5 4 1 1 1 3 5 5 5 0 0 0 1 0
"752" 1 1 7 1 1 1 1 1 1 1 2 2 1 2 1 2 3 1 1 4 3 4 7 3 1 1 2 1 1 1 1 1 1 1 2 2 36 35 51 89 67 54 54 60 50 47 42 51 45 30 77 63 57 47 47 82 75 65 58 54 48 50 73 57 45 47 43 53 49 72 61 46 58 54 2 1 1 1 1 2 1 7 5 4 5 2 3 2 2 1 1 1 1 5 3 1 2 3 4 3 1 1 0 0 0 0 1
"753" 3 1 2 3 2 4 1 1 1 3 1 1 1 1 1 1 3 1 1 1 2 4 3 4 5 5 1 5 4 5 1 1 4 2 1 1 3 2 2 100 53 8 100 17 89 100 4 4 52 100 15 86 40 100 100 52 65 74 1 99 100 97 100 72 100 98 100 100 100 100 40 0 100 99 1 0 1 1 0 2 1 2 3 4 4 1 3 3 2 5 1 1 5 4 5 3 4 5 1 3 1 2 1 0 0 0 0
"754" 3 1 7 1 3 1 3 2 1 1 3 4 1 1 1 5 1 3 1 1 2 5 7 1 5 2 1 5 1 1 5 1 2 4 1 4 1 4 1 3 50 1 87 70 0 1 2 85 0 2 2 2 69 0 1 58 86 9 87 70 49 41 68 82 68 70 1 2 85 52 97 1 83 59 3 1 1 1 1 3 5 2 5 1 1 1 1 2 1 1 5 5 2 4 5 5 1 1 5 2 3 5 1 0 0 0 0
"755" 3 2 4 1 1 1 5 4 3 1 5 3 3 5 1 5 1 5 1 1 3 1 7 1 5 1 1 4 1 1 3 5 5 5 4 3 0 0 0 0 50 60 50 50 0 10 0 0 5 0 50 10 50 50 0 50 50 10 50 50 0 10 50 50 50 50 0 0 50 50 50 0 50 50 1 0 1 1 0 2 3 5 5 1 1 3 1 2 3 1 5 5 1 5 4 1 1 3 5 5 5 5 0 0 0 1 0
"756" 2 3 6 3 3 2 3 2 3 3 3 4 3 3 3 4 3 2 2 1 2 3 2 4 4 5 3 4 3 4 3 4 4 1 5 5 50 50 50 49 49 54 50 52 7 50 67 50 49 50 61 50 39 8 5 72 73 62 49 71 50 59 62 76 59 53 8 7 51 59 19 16 21 86 3 0 0 0 0 2 3 6 5 2 1 2 2 2 2 2 4 3 2 4 3 2 2 4 5 5 3 3 0 0 0 1 0
"757" 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 4 2 1 2 2 4 5 2 5 2 2 5 3 4 3 1 2 2 2 1 29 3 100 89 54 14 28 90 90 74 5 99 71 27 48 80 56 94 87 56 81 83 13 53 93 74 85 55 74 62 91 87 54 78 72 3 77 70 1 0 1 1 1 3 3 1 4 2 2 1 3 2 2 4 2 2 4 4 3 3 2 2 2 3 2 1 1 0 0 0 0
"758" 1 1 1 5 1 1 4 5 3 1 4 5 1 3 2 5 3 4 1 4 4 1 5 3 5 5 3 5 5 4 3 3 3 3 3 3 16 39 6 90 10 73 90 51 76 65 10 69 21 17 70 17 66 73 81 82 46 68 47 72 100 63 89 39 99 65 92 90 29 21 57 26 24 81 1 0 1 1 1 2 4 1 3 5 5 2 3 2 2 5 5 1 5 5 3 3 5 5 4 4 3 5 1 0 0 0 0
"759" 2 2 4 1 1 1 3 2 2 1 2 1 2 2 2 3 2 3 2 3 4 4 4 3 5 3 1 2 2 2 3 2 2 2 3 3 12 0 0 74 3 87 60 2 28 45 2 58 51 0 89 87 53 13 5 100 22 51 17 61 4 86 93 93 94 94 5 2 90 16 99 3 100 87 1 1 1 1 1 2 3 7 5 1 1 1 2 2 2 2 4 4 3 5 3 1 3 4 2 5 4 5 0 0 0 0 1
"760" 2 1 2 3 1 1 1 2 2 2 3 2 1 3 1 2 4 4 2 2 3 4 5 4 3 5 1 5 3 4 2 2 3 2 2 2 4 0 0 86 0 63 87 15 49 94 0 34 30 24 35 62 18 51 54 100 52 79 12 95 74 68 100 43 98 92 35 41 92 73 43 0 42 47 1 1 1 1 1 3 2 3 3 3 3 1 3 3 3 3 1 2 5 5 2 1 3 5 1 3 2 5 0 0 0 1 0
"761" 3 1 1 4 1 3 1 1 1 2 2 2 1 2 1 2 2 3 1 3 2 3 3 4 5 5 1 5 2 5 2 2 4 1 2 2 0 0 0 71 50 20 99 0 71 80 0 17 60 50 7 85 32 50 50 35 70 80 0 85 100 76 50 50 50 70 50 76 50 50 45 15 40 60 1 0 1 1 1 3 3 1 2 5 5 1 3 3 2 4 1 3 5 4 3 3 2 4 4 5 2 3 1 0 0 0 0
"762" 2 2 3 1 1 1 1 1 1 1 4 3 1 4 1 3 3 3 2 2 3 3 7 1 2 3 2 2 2 2 3 3 3 3 3 3 61 24 2 61 83 57 49 84 31 45 63 39 71 19 53 63 80 45 78 71 65 54 56 49 56 90 65 51 57 62 71 35 47 82 56 67 74 55 3 0 0 0 1 2 3 7 2 3 2 2 2 2 3 2 3 3 3 3 3 3 3 3 4 4 3 3 1 0 0 0 0
"763" 1 2 6 1 1 1 5 1 5 1 4 4 3 5 1 5 1 4 2 1 2 4 6 2 2 3 2 2 1 2 3 4 4 4 5 5 10 0 50 15 49 100 15 100 10 10 10 50 15 10 100 50 50 15 30 100 85 50 70 100 0 50 100 100 100 100 15 10 60 50 85 0 61 15 1 1 1 1 0 2 3 7 5 1 1 2 1 2 2 1 5 5 3 5 3 3 1 1 3 3 5 5 0 0 0 0 1
"764" 1 1 1 3 2 2 1 1 1 3 2 1 1 1 1 2 3 2 1 1 3 3 4 4 5 4 2 5 1 2 2 1 4 1 3 2 0 0 0 87 100 9 100 4 100 100 0 0 31 40 0 100 5 100 100 50 83 50 0 69 99 85 100 84 100 100 100 100 100 69 86 0 85 30 1 1 1 1 1 1 3 1 3 3 3 1 3 3 3 4 2 4 4 4 3 3 4 5 2 3 1 3 1 0 0 0 0
"765" 2 3 4 1 1 2 3 3 1 1 2 3 3 2 1 3 1 4 2 1 1 5 6 3 5 1 1 5 1 1 4 1 4 1 3 4 43 31 4 15 37 31 53 44 12 49 31 40 39 35 70 52 70 15 19 84 93 51 42 89 88 48 85 91 90 86 15 51 89 80 36 16 29 77 1 0 1 0 0 1 3 4 5 1 1 2 2 2 2 1 4 4 2 3 4 3 2 2 4 5 5 5 0 1 0 0 0
"766" 3 3 3 3 1 1 2 3 2 2 2 2 2 2 1 2 3 4 2 3 3 4 4 3 5 4 1 5 3 4 2 3 3 2 2 3 0 0 0 70 15 60 50 60 40 85 0 50 15 0 40 60 60 70 50 95 70 70 70 60 60 95 100 50 100 100 50 50 100 95 60 0 60 60 2 1 1 1 1 3 2 5 5 1 1 2 3 3 3 4 2 2 3 4 1 2 3 5 1 5 3 5 0 1 0 0 0
"767" 1 1 4 4 4 3 2 2 4 4 3 3 4 3 3 3 2 2 1 2 3 3 2 4 5 5 2 5 4 5 1 2 4 2 3 4 1 1 1 84 50 84 84 39 71 95 1 1 61 50 44 62 25 90 80 34 56 78 30 50 100 94 80 53 55 50 83 73 63 77 50 50 60 65 2 0 1 1 1 1 3 1 1 3 3 1 3 3 2 5 1 2 4 3 5 3 5 4 2 3 2 3 0 0 1 0 0
"768" 1 1 2 1 3 1 5 3 3 1 5 3 3 4 4 5 1 4 1 1 1 4 6 3 5 5 4 5 1 1 2 1 2 5 2 1 1 5 4 3 9 85 51 83 41 51 6 1 8 6 24 88 42 91 8 100 86 32 94 89 4 60 72 80 63 86 33 12 89 14 86 33 73 15 2 1 1 0 1 3 1 4 5 1 1 2 1 1 2 1 5 4 1 2 3 3 1 2 4 3 2 5 1 0 0 0 0
"769" 2 2 4 1 1 1 3 1 3 1 4 5 4 3 2 5 1 5 2 1 4 4 7 2 3 3 2 5 2 1 3 4 3 2 5 5 4 5 0 2 52 50 57 50 50 51 2 0 36 1 42 52 71 50 59 53 81 36 54 91 73 48 52 52 52 51 48 53 53 50 50 52 52 47 1 1 1 1 1 3 1 2 5 1 3 2 2 2 2 1 4 5 1 3 3 3 3 3 3 3 4 4 1 0 0 0 0
"770" 3 2 4 4 2 2 2 2 2 4 3 2 2 3 2 3 3 3 1 3 3 2 1 4 5 5 2 5 3 5 2 2 5 1 2 2 1 1 1 95 100 1 100 1 100 100 1 1 66 95 1 100 5 100 100 15 45 95 1 50 100 95 100 99 100 100 100 100 90 75 45 1 70 85 2 1 1 1 1 3 3 1 1 5 5 1 3 3 3 4 1 1 4 3 4 3 4 4 2 3 2 2 1 0 0 0 0
"771" 3 1 5 4 1 1 1 1 2 1 4 2 1 3 4 3 2 3 1 1 2 4 2 3 5 1 1 5 4 5 1 3 3 1 1 2 0 0 0 60 100 0 100 16 100 61 0 0 85 0 0 70 29 100 70 14 60 100 0 100 100 100 70 69 100 85 70 70 85 60 50 0 50 50 1 0 1 0 0 3 1 1 3 3 3 1 3 2 2 5 1 2 5 4 5 3 2 5 5 5 3 4 1 0 0 0 0
"772" 3 2 4 1 1 1 1 1 1 1 1 3 4 3 1 5 3 5 2 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 51 0 44 9 47 53 24 44 57 44 0 55 53 55 53 48 53 56 47 48 30 47 60 47 49 52 50 31 40 49 52 43 48 47 48 52 51 55 3 1 0 1 1 3 3 4 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 3 3 1 0 0 0 0
"773" 3 1 1 1 1 1 5 1 5 1 1 1 1 1 1 5 1 5 2 1 1 5 7 1 2 1 1 1 1 1 5 1 1 5 5 1 3 3 2 4 5 99 7 50 5 1 50 100 2 5 50 6 50 5 7 50 100 50 100 99 2 26 100 100 100 100 4 6 100 2 98 2 99 12 1 0 1 1 1 3 3 6 5 1 1 2 2 2 2 1 5 5 1 5 3 1 5 3 5 5 1 5 0 0 0 1 0
"774" 3 5 4 1 1 1 4 2 1 2 3 1 1 2 2 2 1 2 2 4 5 3 7 3 4 5 1 3 1 1 3 1 2 1 2 2 0 0 0 0 16 50 40 100 30 50 0 51 1 0 60 71 60 30 40 90 15 29 91 85 49 61 33 85 50 71 14 20 71 66 98 4 86 50 1 1 0 0 1 2 5 6 5 1 1 3 1 3 3 1 5 5 1 5 2 1 1 3 1 3 4 5 0 0 0 1 0
"775" 2 2 7 2 1 2 2 2 2 2 2 3 2 2 2 4 3 2 2 1 3 3 1 3 4 2 1 1 3 2 4 2 2 3 3 3 17 4 14 73 13 51 40 72 50 42 61 49 25 35 89 60 13 50 49 100 91 51 58 70 68 53 71 82 52 57 50 49 71 13 69 48 68 62 3 1 1 1 1 3 3 6 5 1 1 1 2 2 2 2 4 2 2 4 2 3 1 2 4 4 2 1 0 0 0 1 0
"776" 2 1 4 1 1 1 1 1 2 1 1 1 1 2 1 4 2 1 1 1 1 3 3 4 4 3 3 5 2 2 4 2 1 3 4 5 11 6 6 76 81 91 79 70 55 64 100 63 60 6 100 88 90 70 55 100 99 84 91 96 89 100 100 100 100 85 54 58 100 57 100 0 100 50 1 1 1 1 1 3 3 2 4 3 3 2 2 2 2 2 3 3 2 3 2 2 1 2 5 5 3 2 0 1 0 0 0
"777" 3 1 5 1 3 1 5 1 2 3 5 5 5 5 1 5 1 5 2 1 2 4 4 1 5 4 1 5 1 1 5 3 1 1 4 3 3 1 4 0 50 100 30 70 4 15 0 0 14 0 52 30 50 0 0 70 70 30 2 51 1 64 50 50 47 50 0 0 53 53 78 5 52 51 1 0 1 1 0 2 4 7 5 1 1 2 2 2 2 2 5 5 1 5 5 1 3 3 5 5 5 5 0 0 0 0 1
"778" 3 2 4 2 2 1 4 2 1 2 3 3 3 3 2 3 2 3 1 2 3 2 5 3 5 5 2 5 1 1 2 2 3 2 3 3 2 15 2 15 50 50 85 100 15 51 2 51 2 7 50 62 50 20 15 51 61 50 98 91 85 66 60 79 50 50 1 41 51 50 50 8 66 50 1 0 1 0 0 2 3 1 5 1 1 3 1 2 2 1 5 5 2 4 2 2 2 3 3 4 4 5 1 0 0 0 0
"779" 2 2 7 1 1 1 5 4 3 3 4 4 2 4 1 5 3 3 2 1 2 4 5 4 5 3 3 5 1 1 5 3 1 4 5 5 0 0 0 0 30 0 0 0 0 0 0 0 0 50 0 50 50 40 0 100 100 50 50 85 40 50 85 85 70 50 0 0 85 70 70 15 70 50 1 1 1 1 0 1 3 4 5 5 5 2 2 2 2 2 4 4 3 5 3 2 3 4 2 5 5 5 0 1 0 0 0
"780" 3 3 7 1 1 1 3 1 5 1 5 2 1 5 1 5 1 5 2 2 2 5 7 1 5 1 5 1 1 1 5 5 2 5 3 5 0 0 0 0 14 100 0 0 0 0 50 0 0 0 100 71 8 0 0 100 84 17 85 84 0 31 60 99 0 40 0 0 100 0 85 0 87 0 1 1 1 1 1 2 5 7 5 1 1 3 2 1 1 4 5 5 2 5 2 1 1 1 5 1 5 5 0 0 0 0 1
"781" 1 1 2 1 1 1 2 2 1 1 2 1 1 1 1 1 5 1 3 2 3 4 7 2 1 1 1 1 1 1 1 2 2 2 2 1 99 50 100 100 86 100 97 85 95 62 100 100 95 89 94 97 99 97 95 93 94 97 98 100 98 100 100 96 97 100 69 74 92 87 90 87 91 97 2 1 1 1 1 1 3 2 4 4 4 3 3 2 2 2 2 1 5 2 2 1 2 2 3 5 2 2 1 0 0 0 0
"782" 2 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 3 4 3 3 3 3 3 2 2 4 3 3 3 3 3 7 1 8 40 6 86 70 17 53 50 5 11 21 3 50 2 26 70 81 82 67 30 22 73 50 12 61 60 61 70 31 40 89 39 80 2 62 2 3 1 1 0 1 2 5 3 2 5 5 2 3 2 2 3 1 1 5 5 3 2 3 3 3 5 3 3 0 1 0 0 0
"783" 2 3 2 4 3 4 1 1 4 5 3 4 1 3 4 4 2 2 1 4 5 2 4 4 5 5 1 5 3 5 1 1 4 1 2 3 0 0 0 79 60 3 82 0 65 81 0 0 50 55 0 76 50 56 55 12 17 61 0 50 81 53 58 50 55 52 55 55 60 55 40 35 55 55 1 0 1 1 1 1 1 1 1 5 5 1 3 2 3 5 1 1 5 4 5 3 5 5 2 3 1 2 1 0 0 0 0
"784" 3 3 4 1 2 1 2 2 2 2 2 3 2 2 2 2 4 3 2 4 5 5 7 3 5 2 3 3 1 1 5 3 3 3 3 3 5 5 39 6 13 15 5 5 5 8 22 8 10 5 6 9 11 21 9 4 5 7 8 5 10 5 8 35 22 5 6 9 5 7 54 5 52 53 3 1 1 0 1 2 3 4 3 3 3 2 2 2 2 3 3 3 3 3 3 2 3 3 3 5 3 4 1 0 0 0 0
"785" 1 3 6 1 1 1 5 3 4 1 1 1 1 2 1 4 2 4 2 1 2 5 7 1 5 2 1 2 1 1 3 2 1 3 3 3 1 0 0 0 15 100 39 100 0 70 0 74 15 0 87 15 50 0 0 100 81 30 100 100 17 58 68 52 85 87 0 0 100 31 100 0 100 0 1 0 1 1 0 2 2 3 5 1 1 2 3 2 2 1 4 5 2 4 4 1 2 2 4 3 4 5 0 0 0 1 0
"786" 3 1 7 1 1 1 5 5 5 1 5 3 1 5 1 5 1 5 2 1 2 5 7 1 1 5 1 3 1 1 5 5 5 5 4 4 52 2 1 3 2 30 41 99 42 30 51 19 16 0 52 15 72 52 52 100 86 15 86 100 51 40 52 100 52 51 51 52 53 52 52 51 50 50 1 1 1 1 1 3 3 5 5 1 1 2 2 3 1 3 3 4 3 3 2 3 2 3 2 3 5 5 0 0 0 1 0
"787" 3 1 4 1 1 1 5 4 1 1 1 1 1 4 1 5 1 5 1 2 2 5 7 1 4 1 1 1 1 1 5 2 1 5 4 2 0 0 0 0 50 100 0 100 0 0 0 0 0 0 50 1 85 50 50 85 86 10 100 85 0 0 85 85 85 85 8 50 85 50 90 0 90 10 1 0 1 1 0 2 5 4 5 1 1 2 1 1 2 1 5 5 1 5 1 1 1 3 1 5 4 5 0 1 0 0 0
"788" 3 2 6 1 3 1 3 1 1 1 2 1 2 2 2 2 3 3 2 3 4 5 1 1 5 3 1 5 2 3 3 1 1 2 3 2 1 0 50 100 0 49 100 5 100 82 0 0 10 47 69 100 72 100 100 100 59 100 6 83 100 91 100 100 100 100 100 100 100 100 97 0 100 100 4 1 1 1 1 2 4 1 5 1 1 1 2 3 3 5 3 3 5 5 2 1 3 4 2 5 1 5 1 0 0 0 0
"789" 3 1 4 3 2 1 4 3 5 3 1 1 3 2 2 4 1 5 3 1 3 4 4 4 4 5 3 5 1 3 3 1 1 5 5 2 1 1 1 29 56 51 52 99 39 43 1 50 7 5 87 50 30 49 51 100 71 29 85 100 40 50 49 99 51 51 49 50 100 41 100 1 100 15 1 1 1 1 0 3 5 4 5 2 3 2 2 2 2 1 5 5 4 5 3 1 3 5 3 3 3 5 0 1 0 0 0
"790" 2 1 2 1 4 4 5 5 1 2 3 2 5 3 1 5 1 5 1 2 3 5 7 2 5 3 1 5 3 4 2 5 3 5 4 1 1 1 1 1 100 1 1 100 15 40 1 1 1 1 40 30 60 100 40 100 70 1 1 100 3 1 85 100 100 100 50 30 100 50 50 1 100 1 1 0 1 0 0 1 3 5 5 1 1 2 2 2 2 1 5 5 3 3 5 4 2 2 5 1 4 5 0 0 1 0 0
"791" 3 4 4 1 1 1 5 5 2 1 5 4 1 5 1 5 1 5 1 3 4 3 7 3 5 2 4 5 1 1 5 5 5 3 3 4 0 0 0 7 50 100 84 100 0 0 0 0 0 0 47 6 31 50 28 60 46 15 51 100 0 0 52 50 50 51 11 6 50 13 50 0 52 11 1 0 1 1 0 2 4 5 5 1 1 2 2 2 2 1 5 5 1 5 2 1 2 2 5 5 5 5 0 1 0 0 0
"792" 1 1 4 1 1 1 5 2 5 1 3 5 1 4 1 4 5 3 3 1 1 3 7 1 5 2 1 5 1 1 5 5 5 5 5 5 2 2 1 8 1 18 2 3 1 41 8 2 5 10 2 96 53 2 4 100 100 47 4 100 2 52 100 100 47 100 1 1 100 52 9 6 3 2 1 1 1 1 1 3 1 6 5 5 5 2 1 2 1 1 5 5 1 5 4 1 3 3 4 5 5 5 0 0 0 1 0
"793" 3 5 4 3 1 1 1 1 3 1 4 1 2 3 3 3 3 2 2 2 1 3 4 4 5 5 2 5 2 5 1 3 5 3 3 3 0 0 0 50 82 100 100 49 50 50 0 0 85 49 13 49 49 100 100 60 61 50 15 100 100 83 49 59 100 100 85 67 49 15 14 0 14 30 3 1 1 1 1 3 5 1 3 2 2 1 2 3 3 3 4 3 5 5 3 2 5 5 4 5 2 3 1 0 0 0 0
"794" 2 2 4 2 1 1 1 3 2 2 1 2 2 1 3 2 2 3 2 2 3 3 5 2 5 4 2 4 2 2 4 1 1 1 3 4 0 0 0 40 50 50 30 15 70 50 0 0 15 10 5 60 10 75 60 60 54 70 5 60 47 50 58 85 80 85 60 60 55 50 55 0 55 55 4 1 1 1 1 3 2 6 5 1 1 2 3 3 2 1 2 3 2 4 5 5 2 2 2 3 4 4 0 1 0 0 0
"795" 3 1 7 1 2 1 5 5 5 2 4 3 5 4 1 5 1 5 1 1 1 5 7 1 4 2 2 5 1 1 5 4 2 5 5 2 10 2 0 2 20 51 10 50 11 9 5 14 0 4 30 20 89 4 5 60 100 20 71 85 10 10 50 90 88 90 3 7 95 3 70 0 71 10 1 1 1 1 1 2 3 1 5 1 3 3 1 2 2 1 5 5 1 5 3 1 1 2 5 3 5 5 1 0 0 0 0
"796" 3 1 2 1 1 1 2 1 1 2 2 1 1 2 1 3 3 3 1 4 4 4 7 4 5 3 1 5 1 4 4 2 2 1 4 2 0 0 0 100 53 0 96 0 83 84 0 0 61 78 0 84 0 88 82 66 63 74 0 43 100 57 87 61 84 74 78 64 87 42 88 0 88 18 1 1 1 1 1 3 2 1 4 3 3 1 3 2 2 1 2 2 4 5 3 3 4 5 2 5 1 4 1 0 0 0 0
"797" 3 3 4 3 3 2 2 3 3 2 3 4 3 3 3 3 3 3 1 3 4 4 4 2 5 5 2 5 2 5 2 2 3 2 3 4 0 100 0 50 0 0 55 50 0 10 0 0 79 0 0 50 55 0 0 10 40 55 0 60 55 55 60 55 60 55 0 0 50 50 30 30 50 50 1 1 1 0 0 2 5 1 4 2 2 1 2 2 2 2 3 3 4 3 4 3 3 3 5 1 3 4 1 0 0 0 0
"798" 3 1 5 1 1 1 3 1 2 1 2 2 2 2 3 2 1 4 3 1 3 5 3 3 3 5 1 3 1 1 5 5 5 5 3 3 0 0 0 60 0 85 40 60 0 60 0 30 30 50 60 85 30 0 0 85 60 70 50 70 30 50 60 60 60 70 0 0 60 40 50 50 60 50 1 1 1 1 1 3 3 5 5 1 1 1 2 2 2 2 2 5 2 5 5 2 5 1 4 4 1 5 0 0 0 1 0
