"IID" "pop"
"HG03078" "African"
"HG03079" "African"
"HG03081" "African"
"HG03082" "African"
"HG03084" "African"
"HG03085" "African"
"HG03086" "African"
"HG03088" "African"
"HG03091" "African"
"HG03095" "African"
"HG03096" "African"
"HG03097" "African"
"HG03099" "African"
"HG03100" "African"
"HG03103" "African"
"HG03105" "African"
"HG03108" "African"
"HG03109" "African"
"HG03111" "African"
"HG03112" "African"
"HG03114" "African"
"HG03115" "African"
"HG03117" "African"
"HG03118" "African"
"HG03120" "African"
"HG03121" "African"
"HG03123" "African"
"HG03124" "African"
"HG03126" "African"
"HG03127" "African"
"HG03129" "African"
"HG03130" "African"
"HG03132" "African"
"HG03133" "African"
"HG03135" "African"
"HG03136" "African"
"HG03139" "African"
"HG03157" "African"
"HG03159" "African"
"HG03160" "African"
"HG03162" "African"
"HG03163" "African"
"HG03166" "African"
"HG03168" "African"
"HG03169" "African"
"HG03172" "African"
"HG03175" "African"
"HG03189" "African"
"HG03190" "African"
"HG03193" "African"
"HG03195" "African"
"HG03196" "African"
"HG03198" "African"
"HG03199" "African"
"HG03202" "African"
"HG03209" "African"
"HG03212" "African"
"HG03224" "African"
"HG03225" "African"
"HG03228" "Hispanic"
"HG03229" "Hispanic"
"HG03234" "Hispanic"
"HG03235" "Hispanic"
"HG03237" "Hispanic"
"HG03238" "Hispanic"
"HG03240" "African"
"HG03241" "African"
"HG03246" "African"
"HG03247" "African"
"HG03258" "African"
"HG03259" "African"
"HG03265" "African"
"HG03267" "African"
"HG03268" "African"
"HG03270" "African"
"HG03271" "African"
"HG03279" "African"
"HG03280" "African"
"HG03291" "African"
"HG03294" "African"
"HG03295" "African"
"HG03297" "African"
"HG03298" "African"
"HG03300" "African"
"HG03301" "African"
"HG03303" "African"
"HG03304" "African"
"HG03311" "African"
"HG03313" "African"
"HG03342" "African"
"HG03343" "African"
"HG03351" "African"
"HG03352" "African"
"HG03354" "African"
"HG03363" "African"
"HG03366" "African"
"HG03367" "African"
"HG03369" "African"
"HG03370" "African"
